DE: Non-metallic mineral products / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Air compressors,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%,0.68%
Motor drives,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%,1.33%
Fans and pumps,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%
Low enthalpy heat,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%,0.59%
Glass: Melting tank,75.20%,72.99%,73.31%,77.76%,77.68%,77.50%,77.37%,77.01%,77.93%,77.84%,77.54%,76.69%,76.93%,77.39%,77.74%,77.41%
Glass: Thermal melting tank,66.22%,62.61%,63.14%,70.40%,70.27%,69.99%,69.77%,69.19%,70.69%,70.54%,70.05%,68.67%,69.06%,69.81%,70.37%,69.84%
Glass: Electric melting tank,8.98%,10.38%,10.17%,7.35%,7.41%,7.52%,7.60%,7.83%,7.25%,7.30%,7.49%,8.03%,7.88%,7.59%,7.37%,7.57%
Glass: Forming,7.29%,8.43%,8.27%,5.98%,6.02%,6.11%,6.18%,6.36%,5.89%,5.93%,6.09%,6.52%,6.40%,6.16%,5.99%,6.15%
Glass: Annealing,7.22%,7.27%,7.26%,7.15%,7.15%,7.16%,7.16%,7.17%,7.15%,7.15%,7.16%,7.18%,7.17%,7.16%,7.15%,7.16%
Glass: Annealing - thermal,5.08%,4.81%,4.85%,5.40%,5.39%,5.37%,5.36%,5.31%,5.43%,5.41%,5.38%,5.27%,5.30%,5.36%,5.40%,5.36%
Glass: Annealing - electric,2.13%,2.46%,2.42%,1.75%,1.76%,1.79%,1.81%,1.86%,1.72%,1.73%,1.78%,1.91%,1.87%,1.80%,1.75%,1.80%
Glass: Finishing processes,6.51%,7.52%,7.38%,5.33%,5.37%,5.45%,5.51%,5.68%,5.25%,5.30%,5.43%,5.82%,5.71%,5.50%,5.34%,5.49%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Energy intensity (kgoe per t of output),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cement,77.00,76.79,76.35,74.85,76.32,74.94,72.00,74.25,70.05,69.40,67.86,64.77,64.73,64.69,61.90,61.46
Lighting,0.41,0.40,0.40,0.39,0.40,0.39,0.38,0.39,0.37,0.37,0.36,0.34,0.34,0.34,0.33,0.32
Air compressors,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13
Motor drives,0.69,0.69,0.68,0.67,0.68,0.67,0.64,0.67,0.63,0.62,0.61,0.58,0.58,0.58,0.55,0.55
