DE: Non Ferrous Metals / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),4.9,4.1,3.6,1.6,1.4,1.5,3.7,3.4,2.4,1.7,1.8,2.1,1.8,2.4,1.1,1.0
Residual fuel oil,13.8,15.0,16.4,2.0,10.5,9.2,8.7,7.8,10.0,8.4,7.4,1.6,5.1,4.7,7.1,8.7
Other liquids,0.0,0.0,0.0,39.0,39.5,38.1,3.7,3.9,29.8,23.5,12.8,12.5,3.7,2.8,2.1,8.6
Natural gas (incl. biogas),51.6,51.8,50.9,23.3,20.3,25.9,70.7,69.3,44.5,35.2,42.6,56.1,59.7,54.6,55.2,54.3
Derived gases,0.9,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,2.3,1.4,1.3,1.4,1.8,2.4,2.6,2.4,2.3,2.1,1.9,1.9,1.9
Steam distributed,3.4,3.4,3.3,5.3,7.5,4.4,4.8,3.8,3.8,6.7,19.8,4.9,4.7,5.2,3.5,8.1
Metal finishing - Electric,11.1,11.6,11.6,8.9,10.0,9.3,12.0,12.8,11.9,9.0,10.2,10.0,9.7,8.0,8.5,11.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Market shares of energy uses by subsector (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Alumina production,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%
Air compressors,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%
Motor drives,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%,1.92%
Fans and pumps,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%
Low enthalpy heat,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Alumina production: High enthalpy heat,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%,39.99%
Alumina production: Refining,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%,57.71%
,,,,,,,,,,,,,,,,
Aluminium - primary production,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%
Air compressors,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%
Motor drives,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%,1.51%
Fans and pumps,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%
Low enthalpy heat,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%
Aluminium electrolysis (smelting),82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%,82.01%
"Aluminium processing  (metallurgy e.g. cast house, reheating)",10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%
Aluminium processing - Thermal,4.52%,4.35%,4.32%,5.27%,4.78%,4.96%,2.99%,2.39%,2.98%,3.80%,3.52%,3.30%,3.28%,4.13%,3.69%,2.84%
Aluminium processing - Electric,5.48%,5.65%,5.68%,4.73%,5.22%,5.04%,7.02%,7.61%,7.02%,6.20%,6.48%,6.70%,6.73%,5.87%,6.31%,7.16%
Aluminium finishing,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%,6.20%
Aluminium finishing - Thermal,1.93%,1.92%,1.92%,1.96%,1.94%,1.95%,1.85%,1.82%,1.85%,1.89%,1.88%,1.86%,1.86%,1.91%,1.88%,1.84%
Aluminium finishing - Steam,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%,4.00%
Aluminium finishing - Electric,0.28%,0.29%,0.29%,0.24%,0.26%,0.26%,0.36%,0.39%,0.36%,0.31%,0.33%,0.34%,0.34%,0.30%,0.32%,0.36%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Aluminium - secondary production,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%,0.19%
Air compressors,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Motor drives,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%,2.27%
