DE: Industry Summary,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Iron and steel,"66,947.3","59,311.9","58,528.3","62,247.8","62,786.1","64,494.7","67,017.3","68,781.7","63,159.2","47,699.3","63,119.4","60,740.5","53,376.3","53,243.1","53,362.3","59,064.7"
Integrated steelworks,"65,397.7","57,935.9","57,185.6","60,738.1","61,266.1","62,996.0","65,421.3","67,091.3","61,563.9","46,415.6","61,682.8","59,235.7","52,025.5","51,913.6","52,098.4","57,719.8"
Electric arc,"1,549.6","1,376.0","1,342.7","1,509.7","1,520.0","1,498.7","1,596.0","1,690.5","1,595.3","1,283.7","1,436.6","1,504.8","1,350.8","1,329.5","1,263.9","1,345.0"
Non Ferrous Metals,"4,315.3","4,392.5","4,395.5","4,520.7","4,647.8","4,581.5","3,744.3","3,707.8","3,976.0","2,869.1","3,226.8","3,175.7","3,030.6","3,126.0","3,183.5","3,446.5"
Alumina production,567.4,618.9,607.8,710.2,882.8,967.1,834.5,829.9,940.8,754.8,890.4,835.2,786.5,758.0,816.6,953.3
Aluminium production,"1,258.5","1,284.8","1,282.4","1,342.7","1,327.3","1,307.7",962.1,"1,012.6","1,130.9",585.3,763.1,806.6,763.5,907.2,952.7,984.9
Aluminium - primary production,"1,140.9","1,156.7","1,151.9","1,199.3","1,189.9","1,163.0",853.9,905.3,"1,025.3",498.7,675.0,720.1,679.3,823.5,880.5,902.2
Aluminium - secondary production,117.6,128.0,130.5,143.5,137.4,144.7,108.2,107.3,105.6,86.6,88.1,86.4,84.2,83.7,72.2,82.7
Other non-ferrous metals,"2,489.3","2,488.9","2,505.3","2,467.8","2,437.7","2,306.6","1,947.7","1,865.3","1,904.3","1,529.0","1,573.3","1,533.9","1,480.6","1,460.8","1,414.2","1,508.4"
Chemicals Industry,"22,942.5","22,493.9","23,563.6","25,720.4","23,517.7","24,974.0","22,900.5","26,684.8","27,437.6","24,632.8","28,389.0","26,861.1","27,845.6","27,731.5","25,849.0","27,099.7"
Basic chemicals ,"21,126.2","20,740.4","21,689.6","23,173.1","21,266.2","22,471.2","20,354.4","23,150.8","24,395.9","21,734.9","25,392.9","23,342.3","24,461.4","24,749.7","22,871.8","24,257.4"
Other chemicals,"1,759.7","1,697.3","1,815.7","2,463.3","2,172.9","2,408.2","2,439.9","3,398.3","2,901.1","2,745.1","2,868.3","3,386.5","3,230.8","2,825.3","2,820.1","2,668.6"
Pharmaceutical products etc.,56.6,56.2,58.3,84.0,78.6,94.6,106.2,135.8,140.5,152.8,127.8,132.2,153.4,156.5,157.1,173.8
Non-metallic mineral products,"40,095.1","36,033.6","35,397.5","36,383.3","36,862.5","34,434.3","35,425.2","37,955.3","39,511.6","35,548.9","35,998.0","37,189.0","35,838.0","34,936.5","35,729.3","35,169.5"
Cement,"30,599.3","27,528.0","26,442.2","26,482.6","26,424.8","24,475.3","25,384.5","26,244.1","27,981.3","25,164.4","24,991.9","26,203.2","25,176.0","23,636.5","24,039.4","23,868.6"
