DE: Chemicals Industry / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),4.0,4.2,4.2,5.1,5.1,6.0,6.4,7.3,7.4,7.7,6.9,7.1,7.9,8.1,8.4,9.1
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chemicals: Process cooling - Electric,3.7,4.2,4.0,3.4,4.1,4.3,4.1,2.6,2.3,1.4,2.1,2.1,1.9,2.0,2.7,2.0
Chemicals: Generic electric process,23.6,24.5,24.8,30.4,30.4,35.3,38.1,43.4,44.2,45.6,40.8,42.2,46.8,48.0,49.7,53.2
,,,,,,,,,,,,,,,,
Market shares of energy uses by subsector (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Basic chemicals,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.32%,0.32%,0.33%,0.37%,0.35%,0.36%,0.38%,0.41%,0.43%,0.42%,0.43%,0.43%,0.44%,0.45%,0.44%,0.46%
Air compressors,2.11%,2.10%,2.13%,2.43%,2.28%,2.34%,2.45%,2.66%,2.81%,2.76%,2.80%,2.79%,2.86%,2.90%,2.85%,3.02%
Motor drives,0.39%,0.39%,0.39%,0.45%,0.42%,0.43%,0.45%,0.49%,0.52%,0.51%,0.52%,0.51%,0.53%,0.53%,0.53%,0.56%
Fans and pumps,3.08%,3.07%,3.11%,3.55%,3.33%,3.42%,3.58%,3.89%,4.10%,4.03%,4.09%,4.07%,4.18%,4.23%,4.17%,4.42%
